Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Dec 11 00:44 2022
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file 'wave.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
                  38@00003000: $ 1 <= 00000000
                  54@00004180: $ 5 <= 00003004
                  62@00004184: $ 4 <= 00003008
                  66@00004188: $ 1 <= 00000003
                  70@0000418c: $ 6 <= 00000004
                 102@00004180: $ 5 <= 00003008
                 110@00004184: $ 4 <= 0000300c
                 114@00004188: $ 1 <= 00000006
                 118@0000418c: $ 6 <= 00000007
                 154@00004180: $ 5 <= 00003010
                 162@00004184: $ 4 <= 00003014
                 166@00004188: $ 1 <= 00000009
                 170@0000418c: $ 6 <= 0000000a
                 202@00004180: $ 5 <= 00003014
                 210@00004184: $ 4 <= 00003018
                 214@00004188: $ 1 <= 0000000c
                 218@0000418c: $ 6 <= 0000000d
                 250@00004180: $ 5 <= 00003018
                 258@00004184: $ 4 <= 0000301c
                 262@00004188: $ 1 <= 0000000f
                 266@0000418c: $ 6 <= 00000010
                 298@00004180: $ 5 <= 0000301c
                 306@00004184: $ 4 <= 00003020
                 310@00004188: $ 1 <= 00000012
                 314@0000418c: $ 6 <= 00000013
                 346@00004180: $ 5 <= 00003020
                 354@00004184: $ 4 <= 00003024
                 358@00004188: $ 1 <= 00000015
                 362@0000418c: $ 6 <= 00000016
                 394@00004180: $ 5 <= 00003024
                 402@00004184: $ 4 <= 00003028
                 406@00004188: $ 1 <= 00000018
                 410@0000418c: $ 6 <= 00000019
                 442@00004180: $ 5 <= 00003028
                 450@00004184: $ 4 <= 0000302c
                 454@00004188: $ 1 <= 0000001b
                 458@0000418c: $ 6 <= 0000001c
                 490@00004180: $ 5 <= 0000302c
                 498@00004184: $ 4 <= 00003030
                 502@00004188: $ 1 <= 0000001e
                 506@0000418c: $ 6 <= 0000001f
                 538@00004180: $ 5 <= 00003030
                 546@00004184: $ 4 <= 00003034
                 550@00004188: $ 1 <= 00000021
                 554@0000418c: $ 6 <= 00000022
                 586@00004180: $ 5 <= 00003034
                 594@00004184: $ 4 <= 00003038
                 598@00004188: $ 1 <= 00000024
                 602@0000418c: $ 6 <= 00000025
                 634@00004180: $ 5 <= 00003038
                 642@00004184: $ 4 <= 0000303c
                 646@00004188: $ 1 <= 00000027
                 650@0000418c: $ 6 <= 00000028
                 682@00004180: $ 5 <= 0000303c
                 690@00004184: $ 4 <= 00003040
                 694@00004188: $ 1 <= 0000002a
                 698@0000418c: $ 6 <= 0000002b
                 730@00004180: $ 5 <= 00003040
                 738@00004184: $ 4 <= 00003044
                 742@00004188: $ 1 <= 0000002d
                 746@0000418c: $ 6 <= 0000002e
                 778@00004180: $ 5 <= 00003044
                 786@00004184: $ 4 <= 00003048
                 790@00004188: $ 1 <= 00000030
                 794@0000418c: $ 6 <= 00000031
                 826@00004180: $ 5 <= 00003048
                 834@00004184: $ 4 <= 0000304c
                 838@00004188: $ 1 <= 00000033
                 842@0000418c: $ 6 <= 00000034
                 874@00004180: $ 5 <= 0000304c
                 882@00004184: $ 4 <= 00003050
                 886@00004188: $ 1 <= 00000036
                 890@0000418c: $ 6 <= 00000037
                 922@00004180: $ 5 <= 00003050
                 930@00004184: $ 4 <= 00003054
                 934@00004188: $ 1 <= 00000039
                 938@0000418c: $ 6 <= 0000003a
                 970@00004180: $ 5 <= 00003054
                 978@00004184: $ 4 <= 00003058
                 982@00004188: $ 1 <= 0000003c
                 986@0000418c: $ 6 <= 0000003d
                1018@00004180: $ 5 <= 00003058
                1026@00004184: $ 4 <= 0000305c
                1030@00004188: $ 1 <= 0000003f
                1034@0000418c: $ 6 <= 00000040
                1066@00004180: $ 5 <= 0000305c
                1074@00004184: $ 4 <= 00003060
                1078@00004188: $ 1 <= 00000042
                1082@0000418c: $ 6 <= 00000043
                1102@00003060: $ 1 <= 00000000
                1118@00004180: $ 5 <= 00003064
                1126@00004184: $ 4 <= 00003068
                1130@00004188: $ 1 <= 00000003
                1134@0000418c: $ 6 <= 00000004
                1166@00004180: $ 5 <= 00003068
                1174@00004184: $ 4 <= 0000306c
                1178@00004188: $ 1 <= 00000006
                1182@0000418c: $ 6 <= 00000007
                1218@00004180: $ 5 <= 00003070
                1226@00004184: $ 4 <= 00003074
                1230@00004188: $ 1 <= 00000009
                1234@0000418c: $ 6 <= 0000000a
                1266@00004180: $ 5 <= 00003074
                1274@00004184: $ 4 <= 00003078
                1278@00004188: $ 1 <= 0000000c
                1282@0000418c: $ 6 <= 0000000d
                1314@00004180: $ 5 <= 00003078
                1322@00004184: $ 4 <= 0000307c
                1326@00004188: $ 1 <= 0000000f
                1330@0000418c: $ 6 <= 00000010
                1362@00004180: $ 5 <= 0000307c
                1370@00004184: $ 4 <= 00003080
                1374@00004188: $ 1 <= 00000012
                1378@0000418c: $ 6 <= 00000013
                1410@00004180: $ 5 <= 00003080
                1418@00004184: $ 4 <= 00003084
                1422@00004188: $ 1 <= 00000015
                1426@0000418c: $ 6 <= 00000016
                1458@00004180: $ 5 <= 00003084
                1466@00004184: $ 4 <= 00003088
                1470@00004188: $ 1 <= 00000018
                1474@0000418c: $ 6 <= 00000019
                1506@00004180: $ 5 <= 00003088
                1514@00004184: $ 4 <= 0000308c
                1518@00004188: $ 1 <= 0000001b
                1522@0000418c: $ 6 <= 0000001c
                1554@00004180: $ 5 <= 0000308c
                1562@00004184: $ 4 <= 00003090
                1566@00004188: $ 1 <= 0000001e
                1570@0000418c: $ 6 <= 0000001f
                1602@00004180: $ 5 <= 00003090
                1610@00004184: $ 4 <= 00003094
                1614@00004188: $ 1 <= 00000021
                1618@0000418c: $ 6 <= 00000022
                1650@00004180: $ 5 <= 00003094
                1658@00004184: $ 4 <= 00003098
                1662@00004188: $ 1 <= 00000024
                1666@0000418c: $ 6 <= 00000025
                1698@00004180: $ 5 <= 00003098
                1706@00004184: $ 4 <= 0000309c
                1710@00004188: $ 1 <= 00000027
                1714@0000418c: $ 6 <= 00000028
                1746@00004180: $ 5 <= 0000309c
                1754@00004184: $ 4 <= 000030a0
                1758@00004188: $ 1 <= 0000002a
                1762@0000418c: $ 6 <= 0000002b
                1794@00004180: $ 5 <= 000030a0
                1802@00004184: $ 4 <= 000030a4
                1806@00004188: $ 1 <= 0000002d
                1810@0000418c: $ 6 <= 0000002e
                1842@00004180: $ 5 <= 000030a4
                1850@00004184: $ 4 <= 000030a8
                1854@00004188: $ 1 <= 00000030
                1858@0000418c: $ 6 <= 00000031
                1890@00004180: $ 5 <= 000030a8
                1898@00004184: $ 4 <= 000030ac
                1902@00004188: $ 1 <= 00000033
                1906@0000418c: $ 6 <= 00000034
                1938@00004180: $ 5 <= 000030ac
                1946@00004184: $ 4 <= 000030b0
                1950@00004188: $ 1 <= 00000036
                1954@0000418c: $ 6 <= 00000037
                1986@00004180: $ 5 <= 000030b0
                1994@00004184: $ 4 <= 000030b4
                1998@00004188: $ 1 <= 00000039
                2002@0000418c: $ 6 <= 0000003a
                2034@00004180: $ 5 <= 000030b4
                2042@00004184: $ 4 <= 000030b8
                2046@00004188: $ 1 <= 0000003c
